Unit,Cost,Hit Speed,Speed,Deploy Time,Range,Target,Count,Transport,Type,Rarity
Arrows,3,,4,Air &amp; Ground,Spell,Common,,,,
Clone,3,1,1,3,Spell,Epic,,,,
Fireball,4,,2.5,Air &amp; Ground,Spell,Rare,,,,
Freeze,4,,3,Air &amp; Ground,Spell,Epic,,,,
Goblin Barrel,3,1.5,Ground,x3,Spell,Epic,,,,
Graveyard,5,5,1.5 sec,10 sec,0.5 sec,x17,Ground,Spell,Legendary,
Lightning,6,1.5 sec,3.5,Air &amp; Ground,0.5 sec,x3,Spell,Epic,,
Poison,4,3.5,Air &amp; Ground,8 sec,Spell,Epic,,,,
Rage,2,5,+35%,Spell,Epic,,,,,
The Log,2,Ground,3.9,11.6,Spell,Legendary,,,,
Tornado,3,5.5,3 sec,Troops,Spell,Epic,,,,
Zap,2,2.5,0.5 sec,Air &amp; Ground,Spell,Common,,,,
Barbarian Hut,7,14 sec,Ground,1 sec,1 min,Building,Rare,,,
Bomb Tower,5,1.6 sec,1 sec,40 sec,6,Ground,Building,Rare,,
Cannon,3,0.8 sec,1 sec,30 sec,5.5,Ground,Building,Common,,
Elixir Collector,6,8.5 sec,1 sec,1 min 10 sec,Building,Rare,,,,
Furnace,4,,10 sec,Air &amp; Ground,1 sec,50 sec,Building,Rare,,
Goblin Hut,5,,4.9 sec,Air &amp; Ground,1 sec,1 min,Building,Rare,,
Inferno Tower,5,0.4 sec,1 sec,40 sec,6,Air &amp; Ground,Building,Rare,,
Mortar,4,5 sec,4 sec,30 sec,3-11,Ground,Building,Common,,
Rocket,6,,2,Air &amp; Ground,Spell,,,Rare,,
Tesla,4,0.8 sec,1 sec,40 sec,5.5,Air &amp; Ground,Building,Common,,
Tombstone,3,2.9 sec,Ground,1 sec,40 sec,Building,Rare,,,
X-Bow,6,0.25 sec,4 sec,40 sec,11.5,Ground,Building,Epic,,
